"","Ano","Codigo_Programa","Codigo_Actividad_u_Obra","Vigente","Devengado","Codigo_Economico_Nivel_4","Codigo_Departamento","Codigo_Municipio","Codigo_Fuente_agregada","Codigo_Renglon","ej"
"884",2014,12,1202000002000,556916,0,2112000,1,101,50,122,0
"885",2014,12,1202000002000,50000,19487.89,2112000,1,101,50,122,0
"887",2014,12,1202000002000,115330,0,2112000,3,301,20,122,0
"888",2014,12,1202000002000,393396,0,2112000,4,401,20,122,0
"889",2014,12,1202000002000,159163,0,2112000,4,401,50,122,0
"890",2014,12,1202000002000,18953,0,2112000,5,501,20,122,0
"892",2014,12,1202000002000,395751,97910.33,2112000,7,701,20,122,0
"893",2014,12,1202000002000,369726,0,2112000,7,701,50,122,0
"894",2014,12,1202000002000,515355,515354.53,2112000,7,701,50,122,1
"895",2014,12,1202000002000,854803,395437.21,2112000,8,801,20,122,0
"896",2014,12,1202000002000,270810,0,2112000,8,801,50,122,0
"897",2014,12,1202000002000,1042406,426350.82,2112000,9,901,20,122,0
"898",2014,12,1202000002000,177480,0,2112000,9,901,50,122,0
"899",2014,12,1202000002000,121678,121677.06,2112000,9,901,50,122,1
"900",2014,12,1202000002000,405355,140699.02,2112000,10,1001,20,122,0
"901",2014,12,1202000002000,2861,0,2112000,10,1001,50,122,0
"902",2014,12,1202000002000,367494,150609.69,2112000,11,1101,20,122,0
"903",2014,12,1202000002000,648991,164079.93,2112000,12,1201,20,122,0
"904",2014,12,1202000002000,198263,0,2112000,12,1201,50,122,0
"905",2014,12,1202000002000,359963,359962.42,2112000,12,1201,50,122,1
"906",2014,12,1202000002000,364000,83036.94,2112000,13,1301,20,122,0
"907",2014,12,1202000002000,833825,833824.38,2112000,13,1301,50,122,1
"908",2014,12,1202000002000,1233564,311898.09,2112000,14,1401,20,122,0
"909",2014,12,1202000002000,215766,0,2112000,14,1401,50,122,0
"910",2014,12,1202000002000,514041,514040.07,2112000,14,1401,50,122,1
"911",2014,12,1202000002000,42872,0,2112000,15,1501,20,122,0
"912",2014,12,1202000002000,2052,0,2112000,15,1501,50,122,0
"913",2014,12,1202000002000,313646,0,2112000,16,1601,20,122,0
"914",2014,12,1202000002000,546963,0,2112000,16,1601,50,122,0
"915",2014,12,1202000002000,118589,0,2112000,17,1701,20,122,0
"916",2014,12,1202000002000,69797,0,2112000,18,1801,20,122,0
"917",2014,12,1202000002000,150576,150575.84,2112000,22,2201,50,122,1
